material,color,type,size_L_in,size_W_in
Marble,White Carrara MRBL,Backsplash,108,4
Marble,White Carrara MRBL,Backsplash,108,7
Marble,White Carrara MRBL,Bartop,108,14
Marble,White Carrara MRBL,Bartop,108,6
Marble,White Carrara MRBL,Countertop,96,26
Marble,White Carrara MRBL,Countertop,108,26
Marble,White Carrara MRBL,Countertop,114,26
Marble,White Carrara MRBL,Island,108,28
Marble,White Carrara MRBL,Island,108,32
Marble,White Carrara MRBL,Island,108,36
Marble,White Carrara MRBL,Island,108,39
Marble,White Carrara MRBL,Island,108,52
Marble,ALASKA BLACK (M),Backsplash,108,4
Marble,ALASKA BLACK (M),Backsplash,108,7
Marble,ALASKA BLACK (M),Bartop,108,14
Marble,ALASKA BLACK (M),Bartop,108,6
Marble,ALASKA BLACK (M),Countertop,96,26
Marble,ALASKA BLACK (M),Countertop,108,26
Marble,ALASKA BLACK (M),Countertop,114,26
Marble,ALASKA BLACK (M),Countertop,120,26
Marble,ALASKA BLACK (M),Island,108,28
Marble,ALASKA BLACK (M),Island,108,32
Marble,ALASKA BLACK (M),Island,108,36
Marble,ALASKA BLACK (M),Island,108,39
Marble,ALASKA BLACK (M),Island,108,42
Marble,ALASKA BLACK (M),Island,108,52
