material,color,type,size_L_in,size_W_in
Granite,Absolute Black,Backsplash,108,4
Granite,Absolute Black,Backsplash,108,7
Granite,Absolute Black,Bartop,108,14
Granite,Absolute Black,Bartop,108,16
Granite,Absolute Black,Countertop,96,26
Granite,Absolute Black,Countertop,108,26
Granite,Absolute Black,Countertop,114,26
Granite,Absolute Black,Island,108,28
Granite,Absolute Black,Island,108,32
Granite,Absolute Black,Island,108,36
Granite,Absolute Black,Island,108,39
Granite,Absolute Black,Island,108,52
Granite,African Gold ,Backsplash,108,4
Granite,African Gold ,Backsplash,108,7
Granite,African Gold ,Bartop,108,14
Granite,African Gold ,Bartop,108,16
Granite,African Gold ,Countertop,96,26
Granite,African Gold ,Countertop,108,26
Granite,African Gold ,Countertop,114,26
Granite,African Gold ,Island,108,28
Granite,African Gold ,Island,108,32
Granite,African Gold ,Island,108,36
Granite,African Gold ,Island,108,39
Granite,African Gold ,Island,108,52
Granite,Andromeda White ,Backsplash,108,4
Granite,Andromeda White ,Backsplash,108,7
Granite,Andromeda White ,Bartop,108,14
Granite,Andromeda White ,Bartop,108,16
Granite,Andromeda White ,Countertop,96,26
Granite,Andromeda White ,Countertop,108,26
Granite,Andromeda White ,Countertop,114,26
Granite,Andromeda White ,Island,108,28
Granite,Andromeda White ,Island,108,32
Granite,Andromeda White ,Island,108,36
Granite,Andromeda White ,Island,108,39
Granite,Andromeda White ,Island,108,52
Granite,Angola Black ,Backsplash,108,4
Granite,Angola Black ,Backsplash,108,7
Granite,Angola Black ,Bartop,108,14
Granite,Angola Black ,Bartop,108,16
Granite,Angola Black ,Countertop,96,26
Granite,Angola Black ,Countertop,108,26
Granite,Angola Black ,Countertop,114,26
Granite,Angola Black ,Island,108,28
Granite,Angola Black ,Island,108,32
Granite,Angola Black ,Island,108,36
Granite,Angola Black ,Island,108,39
Granite,Angola Black ,Island,108,52
Granite,Alaska White ,Backsplash,108,4
Granite,Alaska White ,Backsplash,108,7
Granite,Alaska White ,Bartop,108,14
Granite,Alaska White ,Bartop,108,16
Granite,Alaska White ,Countertop,96,26
Granite,Alaska White ,Countertop,108,26
Granite,Alaska White ,Countertop,114,26
Granite,Alaska White ,Island,108,28
Granite,Alaska White ,Island,108,32
Granite,Alaska White ,Island,108,36
Granite,Alaska White ,Island,108,39
Granite,Alaska White ,Island,108,52
Granite,Baltic Brown,Backsplash,108,4
Granite,Baltic Brown,Backsplash,108,7
Granite,Baltic Brown,Bartop,108,14
Granite,Baltic Brown,Bartop,108,16
Granite,Baltic Brown,Countertop,96,26
Granite,Baltic Brown,Countertop,108,26
Granite,Baltic Brown,Countertop,114,26
Granite,Baltic Brown,Island,108,28
Granite,Baltic Brown,Island,108,32
Granite,Baltic Brown,Island,108,36
Granite,Baltic Brown,Island,108,39
Granite,Baltic Brown,Island,108,52
Granite,Black Galaxy ,Backsplash,108,4
Granite,Black Galaxy ,Backsplash,108,7
Granite,Black Galaxy ,Bartop,108,14
Granite,Black Galaxy ,Bartop,108,16
Granite,Black Galaxy ,Countertop,96,26
Granite,Black Galaxy ,Countertop,108,26
Granite,Black Galaxy ,Countertop,114,26
Granite,Black Galaxy ,Island,108,28
Granite,Black Galaxy ,Island,108,32
Granite,Black Galaxy ,Island,108,36
Granite,Black Galaxy ,Island,108,39
Granite,Black Galaxy ,Island,108,52
Granite,Black Pearl ,Backsplash,108,4
Granite,Black Pearl ,Backsplash,108,7
Granite,Black Pearl ,Bartop,108,14
Granite,Black Pearl ,Bartop,108,16
Granite,Black Pearl ,Countertop,96,26
Granite,Black Pearl ,Countertop,108,26
Granite,Black Pearl ,Countertop,114,26
Granite,Black Pearl ,Island,108,28
Granite,Black Pearl ,Island,108,32
Granite,Black Pearl ,Island,108,36
Granite,Black Pearl ,Island,108,39
Granite,Black Pearl ,Island,108,52
Granite,Blue Pearl ,Backsplash,108,4
Granite,Blue Pearl ,Backsplash,108,7
Granite,Blue Pearl ,Bartop,108,14
Granite,Blue Pearl ,Bartop,108,16
Granite,Blue Pearl ,Countertop,96,26
Granite,Blue Pearl ,Countertop,108,26
Granite,Blue Pearl ,Countertop,114,26
Granite,Blue Pearl ,Island,108,28
Granite,Blue Pearl ,Island,108,32
Granite,Blue Pearl ,Island,108,36
Granite,Blue Pearl ,Island,108,39
Granite,Blue Pearl ,Island,108,52
Granite,Crystal Grey ,Backsplash,108,4
Granite,Crystal Grey ,Backsplash,108,7
Granite,Crystal Grey ,Bartop,108,14
Granite,Crystal Grey ,Bartop,108,16
Granite,Crystal Grey ,Countertop,96,26
Granite,Crystal Grey ,Countertop,108,26
